Starting instrumented solve...
Solve Time: 0.6994s
Residual Calls: 1
Jacobian Calls: 5
Success: True
         829327 function calls (806698 primitive calls) in 1.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.017    0.004 utils.py:1(<module>)
     1975    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     4946    0.006    0.000    0.017    0.000 _docscrape.py:67(read_to_condition)
     1984    0.017    0.000    0.017    0.000 {built-in method posix.stat}
     3941    0.007    0.000    0.016    0.000 _docscrape.py:168(_is_at_section)
     3660    0.001    0.000    0.015    0.000 _docscrape.py:77(read_to_next_empty_line)
      113    0.000    0.000    0.015    0.000 _parser.py:969(parse)
  537/113    0.001    0.000    0.015    0.000 _parser.py:452(_parse_sub)
  704/115    0.005    0.000    0.014    0.000 _parser.py:512(_parse)
10819/282    0.006    0.000    0.014    0.000 copy.py:118(deepcopy)
  572/282    0.002    0.000    0.014    0.000 copy.py:217(_deepcopy_dict)
      281    0.000    0.000    0.014    0.000 inspect.py:863(getdoc)
      296    0.007    0.000    0.014    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.012    0.012 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.012    0.012 multiarray.py:1(<module>)
     1993    0.001    0.000    0.012    0.000 _docscrape.py:573(dedent_lines)
        1    0.000    0.000    0.011    0.011 _rotation.py:63(Rotation)
        2    0.000    0.000    0.011    0.006 overrides.py:1(<module>)
       12    0.000    0.000    0.011    0.001 _util.py:290(decorator)
      281    0.001    0.000    0.011    0.000 _docscrape.py:366(_parse_summary)
      113    0.000    0.000    0.010    0.000 _compiler.py:578(_code)
     4054    0.010    0.000    0.010    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.010    0.010 defmatrix.py:1(<module>)
        2    0.000    0.000    0.010    0.005 _linalg.py:1(<module>)
 1293/113    0.004    0.000    0.009    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.009    0.009 _rigid_transform.py:1(<module>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
     2486    0.008    0.000    0.008    0.000 {method 'findall' of 're.Pattern' objects}
      280    0.001    0.000    0.008    0.000 _docscrape.py:599(__str__)
        1    0.000    0.000    0.008    0.008 _minimize.py:1(<module>)
        1    0.000    0.000    0.008    0.008 npyio.py:1(<module>)
     1009    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
       21    0.000    0.000    0.008    0.000 dataclasses.py:1264(wrap)
       21    0.000    0.000    0.008    0.000 dataclasses.py:921(_process_class)
        1    0.000    0.000    0.007    0.007 _pickle.py:1(<module>)
114175/112855    0.007    0.000    0.007    0.000 {built-in method builtins.len}
      280    0.001    0.000    0.007    0.000 _docscrape.py:548(__str__)
        1    0.000    0.000    0.007    0.007 _rigid_transform.py:59(RigidTransform)
  246/184    0.000    0.000    0.007    0.000 typing.py:392(inner)
        1    0.000    0.000    0.007    0.007 _rotation_groups.py:1(<module>)
        2    0.000    0.000    0.007    0.003 _matfuncs.py:1(<module>)
      559    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      583    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.006    0.006 charset.py:1(<module>)
      694    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.006    0.006 _npyio_impl.py:1(<module>)
      745    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.006    0.006 __init__.py:20(_load_version)
        1    0.000    0.000    0.006    0.006 __init__.py:882(version)
      426    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      199    0.000    0.000    0.006    0.000 _array_api.py:744(_make_capabilities_note)
        1    0.000    0.000    0.006    0.006 _decomp.py:1(<module>)
      954    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.000    0.000    0.005    0.005 rules.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _linprog_highs.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shape_base.py:1(<module>)
       28    0.003    0.000    0.005    0.000 __init__.py:355(namedtuple)
        1    0.000    0.000    0.005    0.005 _highs_wrapper.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _geometric_slerp.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _realtransforms.py:1(<module>)
