Starting instrumented solve...
Solve Time: 0.6994s
Residual Calls: 1
Jacobian Calls: 5
Success: True
         829327 function calls (806698 primitive calls) in 1.149 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 solver.py:78(_reference_scales)
       26    0.000    0.000    0.000    0.000 core.py:6979(getdoc)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:1(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:199(split)
     1860    0.000    0.000    0.000    0.000 _array_api.py:673(_render)
    99/26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        5    0.000    0.000    0.000    0.000 _compressed.py:30(__init__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      249    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      343    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
        2    0.000    0.000    0.000    0.000 sysconfig.py:263(_extend_dict)
      250    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       38    0.000    0.000    0.000    0.000 _compiler.py:391(_mk_bitmap)
      948    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        3    0.000    0.000    0.000    0.000 enum.py:1413(_missing_)
      174    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       30    0.000    0.000    0.000    0.000 solver.py:862(_get_node_state)
     1488    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:60(Sectioned)
      757    0.000    0.000    0.000    0.000 inspect.py:3076(<genexpr>)
       27    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
       59    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
     1703    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 _linesearch.py:1(<module>)
     1315    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
     2314    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1009    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      998    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _osx_support.py:331(_check_for_unavailable_sdk)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       62    0.000    0.000    0.000    0.000 _internal.py:15(get_xp)
      251    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      572    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 _interface.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:415(<genexpr>)
       55    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 lgmres.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:695(mtime)
        1    0.000    0.000    0.000    0.000 _multiufuncs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 projections.py:1(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
      160    0.000    0.000    0.000    0.000 enum.py:849(__setattr__)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
      814    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 _function_base_impl.py:3786(median)
      286    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       53    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
       78    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1548(find_distributions)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:1005(open)
  122/115    0.000    0.000    0.000    0.000 typing.py:1600(__hash__)
        5    0.000    0.000    0.000    0.000 dataclasses.py:882(_hash_add)
        6    0.000    0.000    0.000    0.000 inspect.py:3300(__str__)
        2    0.000    0.000    0.000    0.000 _function_base_impl.py:3704(_ureduce)
       39    0.000    0.000    0.000    0.000 getlimits.py:111(_float_to_str)
        9    0.000    0.000    0.000    0.000 enum.py:1403(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 _adapters.py:19(Message)
      572    0.000    0.000    0.000    0.000 _virtualenv.py:50(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:777(find_distributions)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _coo.py:204(_check)
       52    0.000    0.000    0.000    0.000 core.py:917(__init__)
       21    0.000    0.000    0.000    0.000 getlimits.py:487(__new__)
     1942    0.000    0.000    0.000    0.000 typing.py:1630(<genexpr>)
        1    0.000    0.000    0.000    0.000 platform.py:796(_Processor)
        5    0.000    0.000    0.000    0.000 dataclasses.py:675(_hash_fn)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:862(_create_)
      547    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 __init__.py:790(_search_paths)
  118/107    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
      485    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        2    0.000    0.000    0.000    0.000 _function_base_impl.py:3880(_median)
      547    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
       93    0.000    0.000    0.000    0.000 dataclasses.py:864(_set_new_attribute)
  320/254    0.000    0.000    0.000    0.000 typing.py:1285(__hash__)
      108    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.000    0.000 pydoc.py:494(Doc)
        8    0.000    0.000    0.000    0.000 typing.py:1485(copy_with)
      280    0.000    0.000    0.000    0.000 _docscrape.py:460(_str_signature)
        1    0.000    0.000    0.000    0.000 _iotools.py:450(StringConverter)
      280    0.000    0.000    0.000    0.000 _docscrape.py:465(_str_summary)
       16    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
    445/1    0.000    0.000    0.000    0.000 __config__.py:14(_cleanup)
       20    0.000    0.000    0.000    0.000 dataclasses.py:250(_recursive_repr)
       13    0.000    0.000    0.000    0.000 typing.py:1999(__init_subclass__)
       10    0.000    0.000    0.000    0.000 _text.py:79(__hash__)
       68    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
      109    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
        1    0.000    0.000    0.000    0.000 solver.py:315(_build_x0)
      577    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      127    0.000    0.000    0.000    0.000 inspect.py:754(unwrap)
      280    0.000    0.000    0.000    0.000 _docscrape.py:470(_str_extended_summary)
        7    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:750(__init__)
     1827    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        2    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
        8    0.000    0.000    0.000    0.000 _multiufuncs.py:25(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      343    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 _rotation_xp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:114(_compare)
      950    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      184    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        4    0.000    0.000    0.000    0.000 typing.py:1291(__ror__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      113    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     1117    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
        2    0.000    0.000    0.000    0.000 charset.py:206(__init__)
      581    0.000    0.000    0.000    0.000 typing.py:1279(__eq__)
        5    0.000    0.000    0.000    0.000 _coo.py:383(_coo_to_compressed)
       68    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       16    0.000    0.000    0.000    0.000 sysconfig.py:254(_subst_vars)
       13    0.000    0.000    0.000    0.000 core.py:8527(__init__)
      528    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      121    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      176    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      169    0.000    0.000    0.000    0.000 enum.py:784(__delattr__)
      547    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       33    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
       16    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       41    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
      114    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       27    0.000    0.000    0.000    0.000 inspect.py:2030(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        3    0.000    0.000    0.000    0.000 getlimits.py:543(_init)
     1009    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       88    0.000    0.000    0.000    0.000 numerictypes.py:470(issubdtype)
       13    0.000    0.000    0.000    0.000 core.py:8532(getdoc)
       44    0.000    0.000    0.000    0.000 typing.py:1004(_typevar_subst)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
     1626    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        4    0.000    0.000    0.000    0.000 __init__.py:520(cast)
       32    0.000    0.000    0.000    0.000 inspect.py:2830(__str__)
        1    0.000    0.000    0.000    0.000 _decomp_cossin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       33    0.000    0.000    0.000    0.000 enum.py:966(_get_mixins_)
        4    0.000    0.000    0.000    0.000 typing.py:1546(__getitem__)
      172    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        5    0.000    0.000    0.000    0.000 _compressed.py:1063(sum_duplicates)
       20    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
     1119    0.000    0.000    0.000    0.000 _docscrape.py:46(reset)
        2    0.000    0.000    0.000    0.000 feedparser.py:100(push)
      763    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
      346    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 _linalg.py:2382(lstsq)
  611/501    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      330    0.000    0.000    0.000    0.000 inspect.py:302(isclass)
      126    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
       13    0.000    0.000    0.000    0.000 typing.py:1874(__init__)
       71    0.000    0.000    0.000    0.000 _collections.py:20(__missing__)
      509    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       20    0.000    0.000    0.000    0.000 _methods.py:42(_amax)
       42    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
       70    0.000    0.000    0.000    0.000 _util.py:1118(_apply_over_batch)
        1    0.000    0.000    0.000    0.000 _vertex.py:1(<module>)
      778    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
      109    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
       26    0.000    0.000    0.000    0.000 core.py:944(__init__)
        4    0.000    0.000    0.000    0.000 typing.py:1560(__getitem_inner__)
        3    0.000    0.000    0.000    0.000 fromnumeric.py:3476(mean)
       13    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 testing.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
       55    0.000    0.000    0.000    0.000 _base.py:365(nnz)
       67    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
       18    0.000    0.000    0.000    0.000 inspect.py:1845(getattr_static)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       14    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      477    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 _spherical_bessel.py:1(<module>)
       81    0.000    0.000    0.000    0.000 typing.py:988(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 _csc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:685(zip_children)
        2    0.000    0.000    0.000    0.000 components.py:561(diagnostics)
       13    0.000    0.000    0.000    0.000 typing.py:1753(_get_protocol_attrs)
       10    0.000    0.000    0.000    0.000 _sputils.py:372(isshape)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       89    0.000    0.000    0.000    0.000 _compiler.py:472(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _compressed.py:1118(prune)
       19    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
        4    0.000    0.000    0.000    0.000 _spherical_bessel.py:14(decorator)
        1    0.000    0.000    0.000    0.000 __init__.py:272(__init__)
      172    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
      226    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
        1    0.000    0.000    0.000    0.000 <frozen os>:44(_get_exports_list)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       33    0.000    0.000    0.000    0.000 enum.py:1007(_find_data_type_)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 report.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:434(inner)
        1    0.000    0.000    0.000    0.000 __init__.py:347(__new__)
      184    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
       38    0.000    0.000    0.000    0.000 inspect.py:1463(formatannotation)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:145(make)
       18    0.000    0.000    0.000    0.000 inspect.py:1806(_check_class)
       75    0.000    0.000    0.000    0.000 getlimits.py:688(__init__)
       21    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:1(<module>)
       92    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      109    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
        1    0.000    0.000    0.000    0.000 symbolic.py:45(Op)
       50    0.000    0.000    0.000    0.000 _add_newdocs.py:6654(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 _coo.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _codata.py:2047(replace_exact)
        1    0.000    0.000    0.000    0.000 core.py:6672(__new__)
        2    0.000    0.000    0.000    0.000 __init__.py:66(decorator)
        2    0.000    0.000    0.000    0.000 contextlib.py:530(callback)
        5    0.000    0.000    0.000    0.000 _sputils.py:350(isintlike)
        4    0.000    0.000    0.000    0.000 _pep440.py:292(__init__)
        1    0.000    0.000    0.000    0.000 _bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:87(__init__)
        1    0.000    0.000    0.000    0.000 _sysconfigdata__darwin_darwin.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _methods.py:110(_mean)
        2    0.000    0.000    0.000    0.000 typing.py:2975(TypedDict)
        7    0.000    0.000    0.000    0.000 components.py:960(compute_derived_state)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1652(_array_str_implementation)
       18    0.000    0.000    0.000    0.000 core.py:1020(__init__)
      256    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
        1    0.000    0.000    0.000    0.000 solver.py:149(_infer_reference_state)
      266    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
        5    0.000    0.000    0.000    0.000 _compressed.py:166(check_format)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
      284    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 _dok.py:1(<module>)
      176    0.000    0.000    0.000    0.000 numerictypes.py:288(issubclass_)
        4    0.000    0.000    0.000    0.000 typing.py:1542(copy_with)
       10    0.000    0.000    0.000    0.000 _sputils.py:444(check_shape)
        9    0.000    0.000    0.000    0.000 inspect.py:2124(_signature_bound_method)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
     1032    0.000    0.000    0.000    0.000 inspect.py:2796(name)
        1    0.000    0.000    0.000    0.000 calendar.py:60(Month)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
      559    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      354    0.000    0.000    0.000    0.000 typing.py:1634(__eq__)
  125/123    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 pathlib.py:447(__fspath__)
        6    0.000    0.000    0.000    0.000 numeric.py:2642(extend_all)
      258    0.000    0.000    0.000    0.000 inspect.py:378(isfunction)
      113    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        6    0.000    0.000    0.000    0.000 _linalg.py:2566(norm)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1180(_SubParsersAction)
       13    0.000    0.000    0.000    0.000 inspect.py:801(_finddoc)
        1    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
        1    0.000    0.000    0.000    0.000 _orthogonal.py:1(<module>)
      380    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:1297(__init__)
        2    0.000    0.000    0.000    0.000 typing.py:1502(__or__)
        6    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        7    0.000    0.000    0.000    0.000 __init__.py:728(search)
        1    0.000    0.000    0.000    0.000 base64.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _matfuncs.py:207(ProductOperator)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbolic.py:113(Precedence)
        1    0.000    0.000    0.000    0.000 solver.py:30(NetworkSolver)
        1    0.000    0.000    0.000    0.000 _special_sparse_arrays.py:1(<module>)
        1    0.000    0.000    0.000    0.000 strings.py:1(<module>)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
       18    0.000    0.000    0.000    0.000 arrayprint.py:527(wrapper)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       47    0.000    0.000    0.000    0.000 dataclasses.py:437(_tuple_str)
       24    0.000    0.000    0.000    0.000 numerictypes.py:589(_scalar_type_key)
      494    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 _arraypad_impl.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {built-in method combaero._core.mole_to_mass}
       77    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(get_filename)
       96    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
       15    0.000    0.000    0.000    0.000 _coo.py:167(_getnnz)
        1    0.000    0.000    0.000    0.000 report.py:3(ReportBase)
        6    0.000    0.000    0.000    0.000 fromnumeric.py:3267(ndim)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _data.py:1(<module>)
       35    0.000    0.000    0.000    0.000 types.py:192(__init__)
        2    0.000    0.000    0.000    0.000 _pep440.py:117(parse)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 components.py:2186(diagnostics)
        1    0.000    0.000    0.000    0.000 _dia.py:1(<module>)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
      810    0.000    0.000    0.000    0.000 inspect.py:2808(kind)
       13    0.000    0.000    0.000    0.000 core.py:8544(_replace_return_type)
       19    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
        5    0.000    0.000    0.000    0.000 _sparse.py:10(issparse)
        9    0.000    0.000    0.000    0.000 overrides.py:23(set_array_function_like_doc)
        7    0.000    0.000    0.000    0.000 components.py:468(X)
       45    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        1    0.000    0.000    0.000    0.000 _at.py:27(_AtOp)
        1    0.000    0.000    0.000    0.000 calendar.py:194(Calendar)
      105    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 subprocess.py:1880(<genexpr>)
      477    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:990(create_module)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       59    0.000    0.000    0.000    0.000 pathlib.py:1164(__new__)
        1    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
      149    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 <frozen os>:654(get_exec_path)
       18    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
        9    0.000    0.000    0.000    0.000 fromnumeric.py:2513(all)
        1    0.000    0.000    0.000    0.000 function_base.py:25(linspace)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
      386    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        2    0.000    0.000    0.000    0.000 sysconfig.py:110(_getuserbase)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2721(MaskedArray)
       15    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        5    0.000    0.000    0.000    0.000 _compressed.py:1002(toarray)
      802    0.000    0.000    0.000    0.000 inspect.py:2800(default)
      524    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1995(Chebyshev)
        1    0.000    0.000    0.000    0.000 symbolic.py:66(RelOp)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
        2    0.000    0.000    0.000    0.000 _utils_impl.py:639(_median_nancheck)
        1    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        1    0.000    0.000    0.000    0.000 _support_alternative_backends.py:18(_FuncInfo)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
      131    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       12    0.000    0.000    0.000    0.000 _compiler.py:396(_bytes_to_codes)
       42    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
       73    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 _constraints.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:103(dtype_from_ctypes_type)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1544(_array_repr_implementation)
      303    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 feedparser.py:182(close)
      227    0.000    0.000    0.000    0.000 _internal.py:900(<genexpr>)
        9    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:567(__exit__)
       48    0.000    0.000    0.000    0.000 getlimits.py:101(_float_conv)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 solver.py:248(_propagate_mdot_guess)
        1    0.000    0.000    0.000    0.000 pydoc.py:1906(Helper)
        1    0.000    0.000    0.000    0.000 _adapters.py:46(__init__)
        1    0.000    0.000    0.000    0.000 solver.py:1576(extract_complete_states)
       10    0.000    0.000    0.000    0.000 typing.py:2510(overload)
       17    0.000    0.000    0.000    0.000 functools.py:482(lru_cache)
       20    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 species.py:24(from_core)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:107(FullHessianUpdateStrategy)
        9    0.000    0.000    0.000    0.000 fromnumeric.py:89(_wrapreduction_any_all)
      207    0.000    0.000    0.000    0.000 _compiler.py:433(_get_iscased)
       25    0.000    0.000    0.000    0.000 <frozen os>:791(encode)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _compressed.py:1110(sort_indices)
        1    0.000    0.000    0.000    0.000 _adapters.py:63(_repair_headers)
        1    0.000    0.000    0.000    0.000 symbolic.py:96(ArithOp)
        1    0.000    0.000    0.000    0.000 graph.py:127(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:1287(_StderrHandler)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 _fft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _sf_error.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _sputils.py:142(getdata)
        2    0.000    0.000    0.000    0.000 sysconfig.py:119(joinuser)
      102    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:711(partition)
      108    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
      209    0.000    0.000    0.000    0.000 typing.py:1629(_value_and_type_iter)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        2    0.000    0.000    0.000    0.000 core.py:3004(__array_finalize__)
        1    0.000    0.000    0.000    0.000 _globals.py:65(_CopyMode)
        1    0.000    0.000    0.000    0.000 _flow_solution.py:28(FlowSolution)
        3    0.000    0.000    0.000    0.000 blas.py:395(getter)
        1    0.000    0.000    0.000    0.000 __init__.py:428(_sanity_check)
        1    0.000    0.000    0.000    0.000 f90mod_rules.py:1(<module>)
      113    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       10    0.000    0.000    0.000    0.000 _data.py:21(__init__)
